SampleTime,Process Mode,Oxygen Consumption -Top,Furnace Power,CombustionChamber Pressure,Suction Damper Position feedback,FDC inlet Temprature,FDC Outlet Temp,FDC Outlet Temp - Upperside,DP across FDC,FDC Outlet Pressure,Pressure at Gas Mixter inlet,Temp at BagHouse Inlet - UpperSide,Temp at BagHouse Inlet - LowerSide,Pressure at BagHouse Inlet,DP Across baghouse - UpperSide,DP Across baghouse - LowerSide,Pressure ID Fan Inlet,Canopy Damper Position,,,ID Fan1 Speed,ID Fan1 Current,ID Fan2 Speed,ID Fan2 Current
29.12.2023_07.16.27,64,8832.851,0,-10.03327,50.35446,319.0755,129.6,131.7,-1.161024,-93.90192,-122.7141,51.3,55.8,-238.9323,15.83623,19.13773,-403.9352,64.75152,30.3,53.7,942.0965,226.205,941.3395,222.7628
29.12.2023_07.21.27,256,8832.851,0,-9.758392,50.32552,247.1137,108.9,111,20.0123,-95.87674,-123.4086,48.5,52.2,-240.0825,15.49045,18.84983,-401.0055,66.27531,31,51,942.0965,232.5978,941.3395,237.5855
29.12.2023_07.26.26,0,0,0,-6.629776,43.29427,190.6901,91.5,93.9,3.356481,-64.75696,-100.5208,44.8,47.7,-220.9201,15.55411,18.91348,-383.355,79.01874,34.6,45.6,946.2,240.817,945.4032,242.784
29.12.2023_07.31.27,2,0,0,-12.09129,78.26244,141.7101,82.3,83.8,51.61675,-97.76477,-128.4288,46.8,47.1,-244.2708,17.0081,20.09983,-419.8134,61.44133,31.8,48.4,942.6542,235.2672,941.9371,223.3247
29.12.2023_07.36.27,128,0,0,-10.15263,41.91623,143.533,83,83.4,14.50014,-103.2769,-137.9051,48.8,48.1,-254.9696,15.51505,18.80353,-417.1368,63.60568,32,49.6,942.6542,234.5647,941.9371,243.1353
29.12.2023_07.41.27,128,902.236,0,-10.32986,45.31973,306.3151,123.5,118.2,65.52734,-107.5738,-138.7153,55.8,53.5,-255.7509,16.76505,19.92766,-430.23,63.60171,31.9,58,942.6542,238.2178,941.9371,226.9778
29.12.2023_07.46.27,128,1903.164,0,-9.599251,43.29065,419.5963,154.6,147.3,69.47338,-101.7795,-131.3513,64.4,59.5,-248.6762,17.24682,20.49913,-429.0726,63.60171,40,64.2,942.6542,228.5935,941.9371,226.3455
29.12.2023_07.51.27,32,2899.862,0,-13.36444,64.70269,413.9757,168.4,165.2,63.37167,-120.4427,-143.4751,74.1,67.8,-256.8359,17.30758,20.9158,-438.2957,55.19097,36,72.9,942.6542,222.271,941.9371,224.9405
29.12.2023_07.56.26,32,3897.368,0,-14.13845,67.79514,451.454,187.3,186,84.47266,-119.9436,-145.1389,77.2,73.60001,-254.0582,17.77922,20.9621,-438.1872,55.18699,31.7,79.4,942.6542,232.0358,941.9371,224.3083
29.12.2023_08.01.27,32,4893.858,0,-15.15118,70.28356,482.2917,192.6,192.6,87.31554,-131.0113,-156.93,77.7,76.4,-259.6137,18.89323,22.44502,-452.2931,55.19097,33.6,80,942.6542,230.7713,941.9371,220.1635
29.12.2023_08.06.27,32,5888.689,0,-13.96123,73.28921,502.8429,196.3,196.3,83.26823,-116.4713,-140.7263,83.6,80,-250.4774,17.3423,20.8695,-430.013,55.19495,38.9,81.9,942.6542,218.4775,941.9371,220.304
29.12.2023_08.11.26,64,6886.117,0,-10.09838,49.35257,511.2196,191.5,189.4,15.63947,-99.00174,-122.772,73.8,72.8,-231.0981,17.69821,20.83623,-413.5923,63.68128,35,69.60001,942.6542,218.7585,941.9371,226.205
29.12.2023_08.16.27,64,7886.943,0,-10.27199,50.66913,428.2769,169.1,168.1,-1.164641,-94.29251,-122.4248,62.6,66.8,-234.0929,16.91985,20.2691,-408.4563,63.68128,31.5,65.1,942.6542,226.2753,941.9371,215.6675
29.12.2023_08.21.27,64,8291.981,0,-9.816261,49.55874,317.8819,134.1,136.1,-1.161024,-94.74826,-122.2078,56.9,60.2,-237.717,16.38744,19.92043,-408.0585,63.68128,31.5,57.5,942.6542,230.5605,941.9371,223.3247
29.12.2023_08.26.27,64,8291.981,0,-10.04051,43.78255,249.8698,114.2,116.2,6.394676,-100.0217,-126.9097,53.2,54.8,-242.2526,15.74653,19.18114,-405.9968,63.68128,31.2,53,942.6542,230.8415,941.9371,237.7962
29.12.2023_08.31.28,0,8291.981,0,-7.099968,42.4877,193.9236,97.4,99.7,2.228009,-62.02258,-95.64526,50.3,51.8,-213.6285,15.68287,19.11314,-383.3912,79.59961,36.5,50.7,946.2,234.916,945.4032,236.7425
29.12.2023_08.36.26,2,0,0,-11.93577,80.59534,153.5156,85.3,87.5,62.62298,-100.2604,-126.8374,48.3,48.5,-243.75,17.12529,20.96933,-418.6921,60.47852,33.1,48.7,943.0925,230.42,942.4949,234.2838
29.12.2023_08.41.27,128,0,0,-7.128906,50.7921,120.9635,78.6,80.3,22.602,-91.79688,-126.2008,50.5,50,-243.3594,15.61053,18.98727,-406.2138,64.05924,31.8,50.6,943.0925,238.007,942.4949,222.2008
29.12.2023_08.46.27,128,325.1091,0,-9.743919,45.59824,178.2335,93,92.8,21.31076,-100.3906,-130.3386,55.6,53,-252.7127,16.30064,19.76997,-422.7069,64.06322,34.3,55.8,943.0925,232.5275,942.4949,235.5482
29.12.2023_08.51.27,128,1320.348,0,-9.794563,46.67245,351.6059,141.9,136.5,75.77763,-98.58942,-128.7326,62.9,60.1,-248.3073,17.06308,20.40799,-425.8897,64.05924,33.9,65.9,943.0925,233.3003,942.4949,232.387
29.12.2023_08.56.27,32,2317.416,0,-13.4621,68.43895,453.7978,169.5,164.8,103.3782,-117.4479,-142.3611,69.4,64.8,-258.1163,17.51881,21.05758,-437.4276,56.16971,37,69.7,943.0925,228.0315,942.4949,231.3333
29.12.2023_09.01.27,32,3325.196,0,-13.85272,69.96889,500.9766,201,199.3,96.54948,-118.9453,-142.6505,81,72.8,-255.0998,17.10648,20.61487,-434.7874,56.16971,35.4,76.5,943.0925,225.643,942.4949,223.6058
29.12.2023_09.06.27,32,3465.883,0,-14.43142,66.74624,369.1841,164.8,168.5,18.55107,-109.9175,-136.1979,69.60001,68.9,-243.9887,16.73756,20.136,-417.5347,56.16971,33.5,66.3,943.0925,228.2422,942.4949,219.9528
29.12.2023_09.11.26,32,4356.62,0,-12.76403,59.36053,343.2509,147.5,148.8,36.44025,-118.9887,-142.1441,66,63.9,-254.8394,16.40191,19.96672,-425.4196,56.16971,32.5,64,943.0925,225.5025,942.4949,222.6222
29.12.2023_09.16.27,32,5353.115,0,-14.28675,66.74262,397.0486,166.8,167.1,83.71673,-124.1753,-147.3958,71,66.4,-257.2266,17.1195,20.81163,-434.8235,56.17766,32.2,70.1,943.0925,229.5067,942.4949,218.4072
29.12.2023_09.21.27,64,6349.461,0,-9.986259,42.09708,468.0556,191.6,191.6,40.24523,-100.868,-127.9225,72.9,70.7,-237.8906,16.70862,20.30816,-415.1837,64.53667,33.1,71.5,943.0925,229.858,942.4949,224.9405
29.12.2023_09.26.26,64,7334.344,0,-9.346062,50.84274,479.9696,180.3,177.9,29.74175,-93.55469,-118.9525,65.3,65.3,-234.1146,16.88947,20.24306,-409.035,64.53667,35.5,64.4,943.0925,228.8745,942.4949,226.0645
29.12.2023_09.31.27,64,7919.048,0,-9.649887,48.78472,345.4644,144.6,146.3,8.872252,-93.53299,-120.5584,58.5,60.8,-233.1814,16.95747,20.32408,-408.3478,64.53667,35.3,58.8,943.0925,227.2587,942.4949,236.602
29.12.2023_09.36.27,256,7919.048,0,-10.28284,53.97497,243.2509,112.2,115.5,10.99537,-88.93228,-117.7517,53.7,55.4,-232.6823,16.48872,19.83218,-404.0075,66.04854,33.7,53.8,946.2,237.0235,945.4032,231.4738
29.12.2023_09.41.26,2,0,0,-8.514175,64.90162,184.375,93.3,96.2,5.609809,-58.4201,-90.43692,49.4,51.3,-211.7404,18.19589,21.76505,-401.8012,76.04276,36.9,48.8,946.2,233.4408,945.4032,239.131
29.12.2023_09.46.27,2,0,0,-14.89077,78.08521,138.7587,82.9,85.1,52.28226,-95.94183,-126.8808,52.3,51,-241.4063,17.40307,20.5136,-421.1516,59.70667,34,52.1,943.8494,240.3253,943.0925,225.1512
29.12.2023_09.51.26,128,0,0,-10.08392,50.73785,117.1875,79.10001,80.3,23.36155,-91.05902,-121.6291,50.6,50.4,-240.0608,15.7827,19.16667,-405.4543,64.60033,33.5,50.2,943.8494,233.3003,943.0925,223.8165
29.12.2023_09.56.26,128,0,0,-9.342453,44.36126,121.3108,80.1,81.1,18.07002,-92.96875,-124.5081,51.2,50.7,-243.2943,15.78559,19.2419,-408.1669,64.60431,33.9,51.8,943.8494,232.4572,943.0925,229.858
29.12.2023_10.01.27,128,0,0,-9.762009,52.72353,111.9792,78.7,79.4,21.66522,-88.97571,-120.8478,51.4,50.7,-238.4331,15.83767,19.12326,-404.8394,64.60431,33.9,51.5,943.8494,235.4078,943.0925,236.1103
29.12.2023_10.06.27,128,0,0,-9.870514,54.30049,99.30555,74.5,75.5,25.41594,-88.30295,-118.3594,51,50.5,-238.8455,15.84925,19.34896,-404.2607,64.60431,34,50.8,943.8494,232.1763,943.0925,235.8995
29.12.2023_10.11.27,128,0,0,-10.18157,50.77401,90.42969,70.3,71.3,22.65263,-89.84375,-123.2928,50.6,49.5,-240.842,15.92303,19.14352,-405.7798,64.60431,34.3,49.9,943.8494,237.9368,943.0925,234.1432
29.12.2023_10.16.26,128,738.4908,0,-9.696907,44.307,128.2335,78.7,78.4,25.96933,-98.69794,-131.7998,51.8,50.1,-246.4193,16.35272,19.70341,-418.8369,64.60431,35.9,51.5,943.8494,236.3913,943.0925,240.4658
29.12.2023_10.21.26,128,1734.874,0,-10.09114,45.83695,240.6467,113,109,47.31264,-101.5408,-127.8357,58.1,54.2,-243.2726,17.15133,20.625,-423.5026,64.60431,38,57.2,943.8494,234.635,943.0925,235.5482
29.12.2023_10.26.27,32,2731.575,0,-13.5055,62.2215,323.5677,150.6,146,77.11589,-121.5495,-149.7685,66.6,61.2,-263.2162,17.25116,20.8044,-442.0934,55.93099,34.6,66.8,943.8494,226.5562,943.0925,236.321
29.12.2023_10.31.27,32,3728.642,0,-13.62486,65.44054,424.6962,188.2,184.2,103.3167,-120.3342,-144.8495,76.4,69.1,-255.4253,17.83999,21.40046,-441.1531,55.93099,34.4,74.7,943.8494,224.7297,943.0925,222.271
29.12.2023_10.36.27,32,4719.596,0,-13.85995,67.73727,479.362,205.9,203.5,93.80787,-119.987,-143.3449,79.5,75,-250.6945,18.09462,21.5842,-438.4404,55.93895,34.5,79.4,943.8494,227.6803,943.0925,221.7793
29.12.2023_10.41.27,32,5689.807,0,-14.19633,69.48785,522.0486,216.7,214.6,85.71325,-114.6701,-142.1152,81.6,78.7,-250.1302,17.6548,21.23698,-433.5576,55.93895,34.8,82.10001,943.8494,219.1097,943.0925,212.5063
29.12.2023_10.46.27,64,6660.333,0,-9.957321,48.6726,492.5998,209.4,207.5,13.25955,-87.34808,-118.9381,74.1,74.8,-220.421,18.01939,21.34259,-409.6499,64.40538,36.1,71.8,946.2,229.7175,945.4032,224.6595
29.12.2023_10.51.27,64,6862.368,0,-10.2105,50.27127,355.6858,159.5,161.8,-1.161024,-89.93057,-118.4896,62.6,65.9,-224.9349,17.1195,20.45139,-403.2119,64.40538,35.3,63.3,946.2,230.9117,945.4032,223.6058
29.12.2023_10.56.27,64,6862.368,0,-9.682434,46.47352,274.1971,128.3,130.4,1.927807,-92.40451,-123.3362,57.5,60.5,-236.2847,16.0923,19.67882,-402.3799,64.40538,35.4,58.8,945.4032,234.635,944.8455,229.7175
29.12.2023_11.01.26,0,6862.368,0,-9.592018,46.47714,227.9948,114.6,115.9,14.09867,-92.57813,-125.5208,55.8,57.7,-237.6953,15.85069,19.47338,-402.7054,64.40538,37,57.5,945.4032,225.081,944.8455,225.1512
29.12.2023_11.06.27,0,0,0,-6.448929,42.85662,186.2196,99.3,100.5,-1.09592,-62.84723,-94.647,52.6,55,-210.4167,16.36719,19.7555,-380.2807,78.69647,41.6,53.4,946.2,235.197,945.4032,227.61
29.12.2023_11.11.27,2,0,0,-11.53429,78.72902,145.2691,85.1,87.2,53.43605,-86.65369,-118.8802,54.6,53.9,-233.0295,17.80961,21.58565,-419.8134,61.13896,36.4,54.7,946.2,238.007,945.4032,242.7137
29.12.2023_11.16.27,2,0,0,-11.3643,78.72902,116.5582,78.2,80.1,52.99479,-88.67188,-119.5457,55.4,54.7,-233.1597,17.7011,20.96065,-415.3284,61.13896,35.2,55.5,946.2,231.3333,945.4032,224.6595
29.12.2023_11.21.27,2,0,0,-12.43489,80.27344,99.54427,73.9,75.3,54.13411,-90.08246,-121.3976,55,54.2,-234.1146,16.48582,19.91753,-405.8521,61.13896,35,54.4,946.2,228.0315,945.4032,234.0028
29.12.2023_11.26.27,128,0,0,-10.42751,65.3899,87.80382,70.1,71.3,40.05353,-80.25171,-112.8038,54.2,53.5,-234.7222,15.31395,18.7037,-393.4462,64.71173,35.6,53.6,946.2,234.7755,945.4032,236.1805
29.12.2023_11.31.27,128,25.73767,0,-7.678673,51.71803,110.8073,75.7,75.8,20.10634,-91.84027,-123.3217,55.7,53.8,-241.2109,15.56279,18.99884,-404.4415,64.71173,37.1,55.6,945.8414,230.982,945.4032,238.2178
29.12.2023_11.36.27,128,1025.478,0,-9.841576,47.17159,275.4557,122.6,117.7,49.88787,-94.44443,-124.5515,65.9,62.7,-238.737,16.48582,20.16348,-414.4242,64.71173,46.2,68.3,945.8414,220.7255,945.3633,224.8
29.12.2023_11.41.27,32,2020.77,0,-9.960938,50.28935,374.0668,157.6,151.4,63.15827,-75.62933,-120.978,72.2,71.9,-230.7075,17.50579,20.95631,-413.2668,64.71173,52,77,946.2,233.3705,945.4032,228.453
29.12.2023_11.46.26,32,3019.361,0,-14.00463,66.61241,340.9505,162.3,160.2,56.41637,-112.0877,-135.6626,77.7,75.5,-247.7431,17.57957,21.10677,-429.1088,55.99863,41.9,77.9,945.8414,224.0975,945.3633,220.866
29.12.2023_11.51.26,32,4022.516,0,-13.71889,71.74841,364.9956,172.2,171.3,62.2432,-106.0547,-136.6609,81.1,78.8,-242.6649,18.3261,22.01389,-432.4725,55.99863,41.7,83,945.8414,226.6265,945.3633,215.808
29.12.2023_11.56.26,32,5017.618,0,-13.64294,73.3073,437.6519,195.9,194.4,103.3746,-122.1571,-137.5145,85.5,84.7,-247.6996,18.29861,21.7419,-434.4979,56.0026,46.9,89.5,945.8414,220.9362,945.4032,219.461
29.12.2023_12.01.26,64,6012.419,0,-13.5055,76.51548,476.7144,203.2,202.2,103.3746,-101.5625,-135.5903,85.5,88.00001,-241.2978,17.98756,21.53067,-428.1684,56.50788,48.4,91.10001,945.8414,221.4983,945.4032,209.5558
29.12.2023_12.06.26,64,7007.501,0,-9.508827,49.34172,481.9228,197.3,194.2,36.52344,-90.77689,-119.3721,75.9,82.7,-226.5625,17.73438,21.57986,-411.82,64.08311,53,81.6,945.8414,222.552,945.4032,225.7133
29.12.2023_12.11.26,64,7639.534,0,-10.09114,55.01302,403.559,174.2,174.1,1.406973,-83.39844,-115.5382,70.4,75.4,-217.9904,17.19039,20.82031,-399.0524,64.07913,42.3,71.3,946.2,223.957,945.4032,210.8905
29.12.2023_12.16.27,0,7639.534,0,-9.689674,54.90451,288.1728,134.9,137.4,19.56742,-92.66492,-115.6973,62.5,65.4,-227.3438,16.16609,19.78588,-396.4844,64.07913,37.5,61.8,945.8812,222.6222,945.4032,229.0853
29.12.2023_12.21.27,256,7639.534,0,-6.774452,44.54934,204.9479,109.4,112.2,-1.161024,-64.90887,-98.27835,58.8,61.3,-226.0851,14.47338,17.9022,-378.5084,76.14222,41.5,60.4,946.2,224.519,945.4032,224.3785
29.12.2023_12.26.28,2,0,0,-12.57595,86.28834,161.046,94.5,96.60001,55.21557,-90.625,-119.8206,54.2,56.3,-233.0295,18.47367,22.568,-421.0793,59.81807,39.6,55.4,946.2,233.23,945.4032,233.3705
29.12.2023_12.31.27,8,0,0,-11.94661,81.50318,118.967,82,84.2,64.53993,-92.42621,-126.7072,56.5,56.4,-237.4783,16.05903,19.29543,-404.2969,60.30346,39.1,56.5,946.0406,232.0358,945.4032,231.7547
29.12.2023_12.36.27,128,0,0,-10.36964,52.01823,109.7439,79.8,80.60001,18.40278,-80.49042,-116.9126,55.6,54.7,-234.592,15.96065,19.54427,-400.7161,65.5353,37.2,54.4,946.2,233.0192,945.4032,230.8415
29.12.2023_12.41.27,128,16.70732,0,-9.917534,52.01823,104.9479,77.6,78.1,28.06713,-89.0625,-116.305,55.4,54,-235.1563,15.48901,19.44589,-398.6907,65.5353,37.4,53.9,946.0805,234.7755,945.4032,226.205
29.12.2023_12.46.27,128,1019.273,0,-9.476273,46.62905,181.7925,94.8,93,32.58463,-83.13806,-120.2546,60.1,56.2,-237.066,16.76794,20.51215,-413.0135,65.53133,39.3,58.5,946.0805,234.7755,945.4032,230.42
29.12.2023_12.51.27,32,2015.956,0,-10.04051,47.59476,319.9002,138.7,132.5,66.74624,-96.20224,-124.537,64.3,59.5,-239.4097,17.4754,21.03299,-422.4537,65.53133,37.4,63,946.0805,229.9283,945.4032,225.4323
29.12.2023_12.56.27,32,3012.095,0,-13.52358,60.46368,354.4488,166.9,163.3,58.91927,-125,-145.8767,74.7,66.6,-255.7726,17.19039,20.8015,-435.149,56.14584,37.7,70.8,946.0805,219.742,945.4032,216.651
29.12.2023_13.01.27,32,4005.2,0,-14.02995,66.03733,384.375,180.1,178.6,81.75275,-130.7726,-142.3611,78.5,70.8,-250.5859,17.86748,21.78819,-439.1638,56.15777,37.7,74.4,946.0805,227.6803,945.4032,225.362
29.12.2023_13.06.27,32,5000.999,0,-13.44762,70.26548,449.3273,197.7,197.2,83.94097,-110.026,-139.8004,81.9,74.4,-251.0634,17.48698,21.12124,-434.3533,56.14981,37.2,77.2,946.0805,221.7793,945.4032,223.1842
29.12.2023_13.11.27,32,5998.521,0,-14.41695,72.65625,477.7778,203.7,203.8,102.9622,-104.6224,-141.1458,82.9,75.8,-250.7596,17.28733,20.82321,-430.4832,56.14584,37,78.5,946.0805,226.205,945.4032,226.205
29.12.2023_13.16.26,64,6927.627,0,-9.176071,50.58955,458.2466,191.6,190.3,38.85272,-115.842,-116.7679,71.2,70.5,-231.4453,17.04282,20.81742,-409.6499,64.27409,37.8,68.3,946.0805,223.114,945.4032,221.2875
29.12.2023_13.21.26,64,7890.415,0,-9.794563,52.42694,454.6441,181.2,178,15.38628,-94.61807,-119.184,70.4,67.6,-232.9861,16.81713,20.46585,-409.5776,64.27409,41.6,67.4,946.0805,221.5685,945.4032,226.486
29.12.2023_13.26.27,64,8852.122,0,-9.624565,49.16088,452.3221,181,178.1,21.86053,-93.03384,-123.7124,68.8,68.3,-235.8941,16.6088,20.20544,-410.6626,64.27409,41.8,69.9,946.0805,229.5067,945.4032,226.5562
29.12.2023_13.31.27,2,8901.892,0,-11.5162,64.82567,327.0833,146.6,148,35.73495,-100.6076,-125.463,62.5,64.6,-233.941,17.67506,21.43374,-416.0156,60.93208,39.6,64,946.2,224.8703,945.4032,218.5478
29.12.2023_13.36.27,0,0,0,-6.510422,44.52402,235.2431,117.7,120.4,-1.161024,-58.48523,-92.21643,58.2,61.4,-206.901,15.74653,19.1276,-374.5298,78.95508,44.9,59.6,946.2,227.2587,945.4032,231.4738
29.12.2023_13.41.27,2,0,0,-11.59577,88.46571,177.9297,99.60001,101.6,56.66233,-89.3663,-118.0556,56,56.7,-229.1233,17.82552,21.61024,-413.954,60.06872,39.8,56.6,946.2,232.949,945.4032,225.8537
29.12.2023_13.46.27,128,0,0,-10.00796,51.82292,141.5799,89,90.50001,23.66898,-79.49219,-114.3374,57.3,56.1,-232.3568,16.24421,19.55874,-399.8843,65.53133,37.7,55.9,946.2,237.0235,945.4032,223.3247
29.12.2023_13.51.28,128,0,0,-8.980759,44.89294,124.5226,84.7,85.4,21.73756,-88.93228,-120.6163,56.7,54.8,-238.5417,15.81163,19.29688,-401.8374,65.53133,37.4,55.1,946.2,232.5275,945.4032,221.4983
29.12.2023_13.56.28,128,294.6473,0,-10.45645,49.56959,156.2066,92.5,92,37.42405,-99.02344,-126.5625,59.4,56.4,-244.5964,16.74045,20.14323,-415.8348,65.53133,39.1,59.2,946.2,227.3992,945.4032,236.321
29.12.2023_14.01.29,128,1294.65,0,-9.884987,50.88614,305.5339,137.1,132.3,33.89034,-70.70313,-117.202,67.10001,61.7,-229.2752,17.67361,21.15162,-415.2561,65.52734,38.4,63.9,946.2,225.1512,945.4032,229.9985
29.12.2023_14.06.29,32,2291.388,0,-14.31207,67.10069,363.6502,157.7,153.8,75.69444,-115.9722,-146.5567,71.7,64.8,-252.2569,19.14641,22.65915,-446.1444,55.95884,39,68.3,946.2,226.205,945.4032,216.7213
29.12.2023_14.11.32,32,3299.927,0,-13.54528,67.19473,449.3706,195.4,193.2,102.785,-120.8333,-142.9109,82.4,72.9,-248.3724,18.65741,22.11661,-441.7318,55.95884,38.2,78.4,946.2,228.8042,945.4032,224.1678
29.12.2023_14.16.28,32,4278.216,0,-13.62486,73.74855,500.5859,207.3,206.3,99.23322,-108.9409,-135.3877,81.9,78.4,-244.8351,18.77749,22.26418,-439.3447,55.95884,37.6,82.3,946.2,225.924,945.4032,218.1263
29.12.2023_14.21.27,32,5279.53,0,-13.71528,78.75796,521.8533,215,215.8,96.29268,-105.6424,-134.9248,85.7,79.7,-244.4879,18.2364,21.70573,-434.1363,55.96282,37.6,82.6,946.2,220.4445,945.4032,221.709
