SampleTime,Process Mode,Oxygen Consumption -Top,Furnace Power,CombustionChamber Pressure,Suction Damper Position feedback,FDC inlet Temprature,FDC Outlet Temp,FDC Outlet Temp - Upperside,DP across FDC,FDC Outlet Pressure,Pressure at Gas Mixter inlet,Temp at BagHouse Inlet - UpperSide,Temp at BagHouse Inlet - LowerSide,Pressure at BagHouse Inlet,DP Across baghouse - UpperSide,DP Across baghouse - LowerSide,Pressure ID Fan Inlet,Canopy Damper Position,,,ID Fan1 Speed,ID Fan1 Current,ID Fan2 Speed,ID Fan2 Current
06.06.2025_06.49.37,16,8502.414,10.4,-9.906685,43.90915,272.6129,112.2,108.5,84.87051,-113.3464,-111.2703,63.8,64.7,-224.783,15.58015,15.89265,-383.9337,68.69431,44.4,63.5,946.2,223.957,945.4032,220.023
06.06.2025_06.54.41,0,8502.414,16,-9.75116,41.45689,247.309,105.4,101,78.83392,-109.2665,-112.1528,62.4,62.4,-223.2422,15.17795,15.87818,-382.4508,68.69431,44.4,61.4,946.2,229.7175,945.4032,234.1432
06.06.2025_06.59.46,256,8502.414,16,-6.419991,29.00029,211.3028,94.9,89.9,62.19618,-91.01563,-97.72858,60,61.1,-211.6754,15.33565,15.96933,-370.6959,78.6368,50.6,60,946.2,227.329,945.4032,228.172
06.06.2025_07.04.50,2,0,0,-8.376732,39.53993,177.2859,86.9,81.3,94.04659,-134.9392,-134.8814,56.7,57.40001,-241.8837,15.64091,16.5842,-407.6606,59.46397,45.6,56.2,945.8016,226.486,944.8455,222.833
06.06.2025_07.09.55,128,0,0,-10.00434,43.2581,147.6852,83.10001,77.5,85.72411,-123.2205,-125.8681,57.5,57,-241.4497,14.19994,14.91319,-389.5038,61.25832,42,57,945.8016,224.3083,944.8455,222.0603
06.06.2025_07.14.59,128,60.62595,0,-7.309753,43.63064,161.9683,87.6,81.9,89.05165,-126.1502,-126.9387,59.2,57.9,-240.4297,14.37934,15.12008,-391.2037,61.25832,42.2,59.5,945.8016,229.7878,944.8455,229.5067
06.06.2025_07.20.02,128,1062.929,0,-10.08392,39.66652,274.8806,114,106.1,101.9929,-133.8759,-134.2303,65.3,62.2,-244.3359,15.34867,16.12558,-405.5628,61.27025,43,65,945.8016,232.949,944.8455,218.8288
06.06.2025_07.25.07,32,2069.81,0,-13.43316,58.82161,355.0094,135.9,127.8,103.389,-135.4384,-125.8681,71.3,66.4,-240.4731,16.59433,16.97193,-409.1073,56.488,43.3,69.8,946.2,221.147,945.4032,222.1305
06.06.2025_07.30.11,32,3076.121,0,-13.88165,56.09809,426.6638,157.3,151,103.389,-153.2335,-153.6603,83.2,76.7,-260.7422,16.39323,17.00955,-431.6406,51.32776,44.9,84,946.0008,220.1635,945.4032,219.6015
06.06.2025_07.35.15,32,4092.061,0,-13.93591,56.40191,475.2821,175.3,168.4,103.3854,-149.4358,-146.6146,89.8,83.8,-254.6007,16.46267,16.95457,-423.3579,51.32776,46.2,89.1,946.0008,217.3535,945.4032,211.4525
06.06.2025_07.40.19,32,5110.969,0,-13.91059,57.59187,491.9922,182.5,175.6,103.389,-134.2014,-146.0504,91.5,87,-251.1936,16.28761,16.90972,-418.6198,51.33174,44.4,89.8,946.0008,222.6222,945.4032,220.9362
06.06.2025_07.45.23,64,6123.102,0,-9.646263,42.33218,489.3265,167.4,164.8,103.3818,-160.9809,-136.603,88.10001,86,-236.9792,16.22975,16.90828,-404.0437,56.17766,42.4,86.4,943.1323,208.4317,942.4949,216.1592
06.06.2025_07.50.28,64,7134.477,0,-10.26114,44.80613,481.2898,154,149.2,103.3782,-158.8108,-132.1904,77.3,78.5,-241.6667,15.82321,16.54659,-405.9968,60.32335,42.9,76.60001,943.6503,220.304,943.0526,219.6718
06.06.2025_07.55.37,0,7889.044,0,-9.794563,42.37196,416.4388,143.2,137.8,103.3818,-141.9922,-132.7691,72.3,73.5,-236.2413,15.40365,16.05469,-396.4482,60.32335,42.3,71.6,943.6503,220.7957,943.0925,210.2583
06.06.2025_08.00.36,16,7889.044,3.2,-10.1671,45.06655,323.8173,122.9,117.5,80.00217,-104.4054,-107.5521,65.8,68.8,-219.6615,15.4673,16.00405,-378.6892,69.4184,45.2,66.4,946.2,224.8703,945.4032,226.767
06.06.2025_08.05.40,16,7889.044,10.8,-10.07668,45.06655,286.7766,115.8,109.8,80.89192,-105.3168,-107.8848,63.2,65.60001,-221.1371,15.13889,15.8941,-378.9786,69.41442,47.5,64.8,946.2,224.519,945.4032,215.7378
06.06.2025_08.10.45,2048,7889.044,17.8,-9.794563,44.53125,262.4674,110.4,104.3,75.62572,-101.3238,-105.9317,61.6,62.5,-218.3811,15.38484,15.83767,-377.0616,70.46477,45.1,60.8,946.2,224.519,945.4032,223.4653
06.06.2025_08.15.49,256,7889.044,18.6,-6.832321,27.44864,236.8851,103.6,97.3,99.10301,-140.0608,-142.202,60.4,61.1,-245.3776,14.40394,15.33999,-398.0396,63.20385,48.4,60.5,943.9291,229.1555,943.0925,217.5642
