SampleTime,Process Mode,Oxygen Consumption -Top,Furnace Power,CombustionChamber Pressure,Suction Damper Position feedback,FDC inlet Temprature,FDC Outlet Temp,FDC Outlet Temp - Upperside,DP across FDC,FDC Outlet Pressure,Pressure at Gas Mixter inlet,Temp at BagHouse Inlet - UpperSide,Temp at BagHouse Inlet - LowerSide,Pressure at BagHouse Inlet,DP Across baghouse - UpperSide,DP Across baghouse - LowerSide,Pressure ID Fan Inlet,Canopy Damper Position,,,ID Fan1 Speed,ID Fan1 Current,ID Fan2 Speed,ID Fan2 Current
11.08.2024_11.45.17,ESH_DD_S7_PRG/PLC->HMI.EafPhaseMode,ESH_CON_S7_PRG/ProData_C1.TotO2Lnc,ESH_CON_S7_PRG/ProData_C1.TotalEn,12AA001-PIA002/PRESSURE.OutV,SUCTION_SH1/POSITION.OutV,12AP001-TIA001/TEMPERATURE.OutV,12BA001-TIA001/Temperature.OutV,12BA001-TIA002/Temperature.OutV,12BA001-DPT001/Pressure.OutV,12BA001-PIA001/PRESSURE.OutV,12AP001-PIA002/PRESSURE.OutV,12AP001-TIA003/Temperature.OutV,12AP001-TIA004/Temperature.OutV,12AP001-PIA001/PRESSURE.OutV,12AQ001-DPT001/Pressure.OutV,12AQ001-DPT002/Pressure.OutV,12AQ001-PIA001/Pressure.OutV,CANOPY_SH1/POSITION.OutV,12AA001-TIA001/Temperature.OutV,12AP001-TIA005/Temperature.OutV,ESH_DD_S7_PRG/PLC->HMI4.Sh11_IDfan1_Speed_FB,ESH_DD_S7_PRG/PLC->HMI4.Sh11_IDfan1_Current_FB,ESH_DD_S7_PRG/PLC->HMI4.Sh11_IDfan2_Speed_FB,ESH_DD_S7_PRG/PLC->HMI4.Sh11_IDfan2_Current_FB
29.08.2024_18.24.38,32,5631.284,0,-14.00463,89.00825,494.0611,189.6,190.3,79.20645,-116.3846,-125.9404,84.3,84.5,-213.0425,16.89091,20.68721,-410.8796,61.46122,41.8,87.90001,946.2,217.775,945.4032,218.1965
29.08.2024_18.29.38,64,6632.452,0,-9.964554,52.36545,489.247,180,180.1,24.75405,-117.7734,-124.2477,79.7,80.9,-209.6354,16.72743,20.60475,-404.116,64.78335,43.6,78.9,946.2,222.7628,945.4032,223.676
29.08.2024_18.34.38,64,7540.279,0,-10.01157,45.20037,413.4151,155.9,155.5,26.14294,-116.5148,-126.0561,67.8,72.9,-211.8272,16.06626,19.59057,-397.3163,64.77937,40.3,68.9,946.2,222.4818,945.4032,227.6803
29.08.2024_18.39.37,16,7540.279,0.4,-8.991608,41.59071,297.4392,121.7,121.9,7.096354,-138.4983,-143.0989,62.4,65.8,-232.4436,14.55295,18.04832,-402.6331,62.5076,41.7,63.6,946.2,222.833,945.4032,217.3535
29.08.2024_18.44.38,16,7540.279,8.2,-10.20689,45.7827,256.977,109.9,110.2,43.17492,-110.6988,-119.43,60.1,62,-211.4149,15.0217,18.7037,-388.8889,69.79239,41.5,60.6,946.2,221.2875,945.4032,224.4487
29.08.2024_18.49.38,2048,7540.279,17.2,-10.27923,45.7827,235.5722,105,105,32.42549,-111.3064,-116.5364,57.6,60.1,-209.9175,14.77865,18.77315,-388.1655,69.78841,41.2,59.9,946.2,224.8,945.4032,226.4158
29.08.2024_18.54.38,0,7540.279,21.6,-9.212234,50.77401,217.3901,100.2,100.1,35.18518,-107.7474,-116.4063,56.2,58.8,-209.7873,15.20255,18.65741,-389.9739,69.78841,41.8,59,946.2,232.2465,945.4032,223.1842
29.08.2024_18.59.38,0,0,0,-6.383827,30.80874,177.0074,90.9,90,15.50926,-97.63455,-108.261,55.1,57.2,-201.4106,15.02604,18.79485,-380.9678,78.74422,50.2,56.9,946.2,235.2672,945.4032,219.8825
29.08.2024_19.04.38,128,0,0,-9.635422,42.74088,151.5842,86.3,85.4,27.6114,-131.7274,-138.4404,53.9,54.9,-231.9445,14.76273,18.24364,-404.0437,62.31265,42.8,55.5,946.2,225.5728,945.4032,227.8208
29.08.2024_19.09.38,128,0,0,-10.51433,45.43909,145.4572,87,86.2,33.72034,-119.2274,-128.9207,55.5,55.1,-219.2491,14.93634,18.66464,-397.2078,64.62421,40.9,56.4,946.2,229.858,945.4032,223.395
29.08.2024_19.14.38,128,935.0939,0,-9.599251,47.32711,175.2568,97.6,96.10001,33.29355,-114.4097,-124.0886,58,57.40001,-216.7318,15.31829,19.24335,-400.897,64.62022,41.5,58.7,946.2,229.3663,945.4032,231.825
29.08.2024_19.19.37,128,1444.638,0,-9.375,42.34303,198.4122,109.4,107.3,38.66464,-117.3828,-126.6638,61.5,60,-218.2509,15.27633,19.23032,-402.0182,64.62022,42.8,62.1,946.2,226.4158,945.4032,230.2092
29.08.2024_19.24.38,32,2279.35,0,-12.96658,62.80743,250.8102,124.9,122.3,61.00261,-122.0486,-130.5411,66.2,63.1,-224.3924,15.80729,19.60938,-409.4691,61.31004,42.3,68.2,946.2,229.3663,945.4032,224.4487
29.08.2024_19.29.38,32,3278.968,0,-13.58507,81.42723,365.4731,154.1,152.3,78.23351,-112.4132,-123.5533,76.2,73.60001,-211.7404,16.58565,20.72193,-408.9265,61.31402,42.1,79.7,946.2,224.8,945.4032,210.8203
29.08.2024_19.34.38,32,4281.697,0,-14.31207,85.91218,454.3945,180.5,180.2,99.44661,-129.5139,-130.7002,82.10001,80.8,-220.7682,16.78241,20.91435,-419.741,61.31004,42.1,87.1,946.2,215.246,945.4032,214.0517
29.08.2024_19.39.38,32,5284.939,0,-13.76953,86.21962,494.5385,190.2,190.4,58.45993,-132.1832,-127.8646,83.3,83.8,-219.2274,16.89381,20.6279,-415.7625,61.31402,41.5,87.3,946.2,220.5147,945.4032,210.3987
29.08.2024_19.44.38,64,6289.786,0,-10.69878,58.40567,502.7742,184.2,185.4,98.10113,-120.7682,-123.0035,81.7,83.5,-206.8142,16.1169,20.24884,-400.3906,64.81518,42,84.1,946.2,222.2008,945.4032,220.866
29.08.2024_19.49.38,64,7294.97,0,-11.8996,46.79543,473.2133,168.6,168.2,28.31308,-126.454,-128.4867,73.60001,76.9,-212.2396,16.19502,19.92911,-402.0182,64.81518,43.6,75,946.2,224.4487,945.4032,228.453
