SampleTime,Process Mode,Oxygen Consumption -Top,Furnace Power,CombustionChamber Pressure,Suction Damper Position feedback,FDC inlet Temprature,FDC Outlet Temp,FDC Outlet Temp - Upperside,DP across FDC,FDC Outlet Pressure,Pressure at Gas Mixter inlet,Temp at BagHouse Inlet - UpperSide,Temp at BagHouse Inlet - LowerSide,Pressure at BagHouse Inlet,DP Across baghouse - UpperSide,DP Across baghouse - LowerSide,Pressure ID Fan Inlet,Canopy Damper Position,,,ID Fan1 Speed,ID Fan1 Current,ID Fan2 Speed,ID Fan2 Current
27.02.2024_17.30.04,32,2652.139,0,-20.48611,59.67882,407.1831,169.6,169,41.39178,-93.51129,-136.4583,74.9,67.9,-244.9436,16.39323,21.04311,-422.2005,60.84056,39.7,72.7,946.2,228.734,945.4032,214.965
27.02.2024_17.35.04,32,2652.139,0,-16.09158,56.9987,299.0668,147.8,150.3,51.65654,-108.4852,-134.7222,71,67.9,-243.967,15.23148,19.69329,-407.9861,60.82067,40.2,68.6,946.2,232.0358,945.4032,226.3455
27.02.2024_17.40.04,32,3201.208,0,-16.09158,60.1237,257.2483,132.6,134.7,52.23886,-113.3897,-142.2743,69,66.2,-248.6545,15.64236,20.25029,-417.6794,60.84455,42.5,67.9,946.2,228.1017,945.4032,218.2668
27.02.2024_17.45.04,32,4198.449,0,-15.55628,60.34071,384.5703,166.8,166.3,51.51187,-108.4635,-136.3137,76.3,71.3,-246.2457,16.06626,20.7798,-419.7772,60.80476,40.2,74.4,946.2,226.4158,945.4032,215.6675
27.02.2024_17.50.04,32,5203.285,0,-15.62862,62.83637,448.0252,190.6,191.6,58.16334,-105.5122,-136.6464,80.60001,76.3,-240.1042,16.59144,21.26736,-419.1262,60.83659,40.4,80.4,946.2,214.0517,945.4032,233.511
27.02.2024_17.55.04,64,6205.642,0,-11.27749,48.64728,467.5998,191.4,194.6,34.16522,-82.89929,-122.3814,80,78.4,-233.6371,15.22859,19.77141,-400.9332,66.51006,41.5,79.6,946.2,226.6265,945.4032,217.3535
27.02.2024_18.00.04,64,7148.297,0,-11.97193,49.59852,449.4358,177.8,180.8,32.64612,-75.58594,-114.4821,72.1,72.7,-222.1137,16.0026,20.4919,-393.2653,69.15183,43.1,71,946.2,223.8165,945.4032,220.1635
27.02.2024_18.05.05,0,7937.012,0,-11.02792,46.94734,383.7674,154.3,157.6,30.99682,-83.35504,-113.6574,66.7,68,-222.0052,15.6004,20.2691,-390.4803,69.13593,41.9,66.3,946.2,230.701,945.4032,232.1763
27.02.2024_18.10.05,16,7937.012,2,-8.760124,48.30368,292.73,129.3,132.2,52.01461,-94.59637,-108.3623,63.1,64.2,-230.7726,13.67043,18.3261,-383.6082,71.9647,40.7,63.6,946.2,228.6638,945.4032,229.2258
27.02.2024_18.15.04,16,7937.012,9.2,-12.55787,48.05049,273.0035,124.9,127.1,32.22656,-65.9071,-105.4398,61.7,62.5,-215.5165,15.3342,19.74537,-382.3423,74.65025,41.9,62.4,946.2,227.048,945.4032,227.1885
