SampleTime,Process Mode,Oxygen Consumption -Top,Furnace Power,CombustionChamber Pressure,Suction Damper Position feedback,FDC inlet Temprature,FDC Outlet Temp,FDC Outlet Temp - Upperside,DP across FDC,FDC Outlet Pressure,Pressure at Gas Mixter inlet,Temp at BagHouse Inlet - UpperSide,Temp at BagHouse Inlet - LowerSide,Pressure at BagHouse Inlet,DP Across baghouse - UpperSide,DP Across baghouse - LowerSide,Pressure ID Fan Inlet,Canopy Damper Position,,,ID Fan1 Speed,ID Fan1 Current,ID Fan2 Speed,ID Fan2 Current
09.10.2024_10.38.41,32,2661.905,0,-13.44039,76.87717,362.3698,147.6,147.2,103.3818,-117.0139,-119.7772,75.6,76.2,-218.8368,16.84896,20.17216,-405.9245,60.97186,41.1,84.1,946.2,225.0108,945.4032
09.10.2024_10.43.41,32,3665.516,0,-13.61039,89.51099,433.2682,172.3,174.1,103.3818,-108.8759,-113.18,85.5,84.7,-212.5868,16.79109,20.16348,-400.1736,60.9639,42,90.50001,946.2,222.9033,945.4032
09.10.2024_10.48.42,32,4669.359,0,-13.36806,92.50217,471.1046,185.9,189.8,103.3818,-104.6224,-108.7384,90.2,89.5,-203.6675,17.28299,20.44271,-395.3994,60.97186,43.8,93.7,946.2,216.932,945.4032
09.10.2024_10.53.42,32,5673.543,0,-13.51997,92.50941,477.908,177.9,182.5,95.41016,-104.579,-108.7674,87.1,89.4,-204.6441,16.78385,20.00868,-388.8165,60.97186,42.3,91.10001,946.2,221.5685,945.4032
09.10.2024_10.58.41,64,6677.059,0,-10.3371,56.16319,443.2943,161.4,163.9,96.318,-101.1502,-103.3854,78.4,84.9,-195.5729,17.0978,19.87992,-381.1487,64.33775,42.2,83.2,946.2,218.8288,945.4032
09.10.2024_11.03.41,64,7674.199,0,-8.73481,53.27691,434.7005,155.4,154.9,87.48192,-102.6259,-104.0799,75.9,80.1,-200.4557,16.19792,19.12326,-378.2191,64.33775,42.5,79.7,946.2,216.2997,945.4032
09.10.2024_11.08.41,2,7829.918,0,-8.778214,51.70356,344.0683,131.4,134.3,83.00781,-101.1068,-104.8177,71,75.7,-199.4358,17.62153,20.81308,-392.8675,60.60185,42.8,74.2,946.2,222.4115,945.4032
09.10.2024_11.13.41,2,7829.918,0,-7.888451,45.84418,250.9693,103.3,107.8,102.351,-122.3307,-120.3704,65.5,70.3,-217.4913,16.45978,19.2202,-396.5568,60.55809,41.9,67.9,946.2,224.3083,945.4032
09.10.2024_11.18.41,2,7829.918,0,-8.015045,44.2419,189.341,88.4,92.3,99.77575,-121.2891,-121.3397,62.7,65.5,-218.0122,16.4728,19.56886,-398.2928,60.5541,40.6,63.9,946.2,228.1017,945.4032
09.10.2024_11.23.44,2,7829.918,0,-7.863136,44.2419,151.2261,82.8,85.8,97.28371,-118.0339,-125.0434,61.1,63.3,-223.1988,16.06481,19.00029,-397.895,60.54615,40.5,62.4,946.2,226.205,945.4032
09.10.2024_11.28.48,2,7829.918,0,-8.557579,37.99551,127.1557,79.4,81.5,103.389,-138.6285,-143.3449,59.7,61.3,-239.7787,16.67824,19.41696,-416.0518,60.56207,41.1,60.5,946.2,231.6142,945.4032
09.10.2024_11.33.52,16,7829.918,7.2,-9.863281,43.97787,155.9209,90.60001,91.7,101.0127,-104.579,-112.8328,58.8,60.7,-211.2847,14.99855,18.03819,-380.7147,69.7526,42.3,61.2,946.2,232.0358,945.4032
09.10.2024_11.38.56,2048,7829.918,15.2,-10.13454,43.97425,181.543,102.3,102.7,103.389,-104.796,-114.0046,59.1,61.5,-212.934,15.19676,18.23495,-381.8721,69.75658,42.8,62.5,946.2,226.9075,945.4032
09.10.2024_11.44.00,0,7829.918,20,-9.714989,43.97787,189.4206,107.9,108.5,103.2118,-103.4288,-111.0388,59.7,62.1,-215.0608,14.79745,17.98177,-380.1722,69.75658,45.1,62.6,946.2,233.23,945.4032
09.10.2024_11.49.04,256,7829.918,20,-5.51577,30.28067,168.533,101.5,102,86.52705,-88.25955,-94.6904,56.8,60,-198.546,15.1577,18.19155,-367.8386,79.79456,48.3,59,946.2,224.4487,945.4032
09.10.2024_11.54.08,2,0,0,-8.557579,42.83493,145.0593,92.6,93.7,103.389,-133.9193,-140.2633,53.8,56.8,-235.8507,18.01939,20.69589,-417.5709,60.30346,44.1,56.8,946.2,233.3705,945.4032
09.10.2024_11.59.13,128,0,0,-12.61574,37.48553,126.0417,86.10001,88.00001,103.389,-124.783,-130.2373,54.1,56,-229.9262,14.98553,17.89207,-394.9653,63.66139,43.1,55.4,946.2,229.2258,945.4032
