SampleTime,Process Mode,Oxygen Consumption -Top,Furnace Power,CombustionChamber Pressure,Suction Damper Position feedback,FDC inlet Temprature,FDC Outlet Temp,FDC Outlet Temp - Upperside,DP across FDC,FDC Outlet Pressure,Pressure at Gas Mixter inlet,Temp at BagHouse Inlet - UpperSide,Temp at BagHouse Inlet - LowerSide,Pressure at BagHouse Inlet,DP Across baghouse - UpperSide,DP Across baghouse - LowerSide,Pressure ID Fan Inlet,Canopy Damper Position,,,ID Fan1 Speed,ID Fan1 Current,ID Fan2 Speed,ID Fan2 Current
01.10.2024_23.47.15,64,7650.754,0,-9.157982,51.57697,478.2661,171.2,166.6,102.3908,-101.5191,-105.1939,70.8,75.4,-204.579,16.0706,18.78328,-379.3403,64.35764,43.8,73.8,946.2,230.701,945.4032,210.469
01.10.2024_23.52.16,0,7901.723,0,-10.13454,52.56076,366.5075,138.9,138.1,98.48452,-111.6103,-101.8953,62.7,69.1,-203.2335,15.18229,18.03964,-370.3342,64.35764,43.1,66,946.2,229.7878,945.4032,215.4567
01.10.2024_23.57.15,16,7901.723,6.8,-10.29008,48.2024,291.2326,118.4,118.1,97.58392,-107.0963,-110.0984,59.6,64.7,-209.0061,14.78877,17.60706,-373.4086,69.03646,45,63.9,946.2,229.1555,945.4032,219.8122
02.10.2024_00.02.15,2048,7901.723,15.2,-9.729454,46.63628,258.3297,112.7,112.3,91.97048,-109.0061,-110.4601,57.5,63.4,-210.4601,14.84375,17.65046,-376.3021,69.03646,47.3,63.4,946.2,226.6265,945.4032,222.9033
02.10.2024_00.07.16,2048,7901.723,23.6,-10.06944,45.0991,240.9035,109.4,109.3,93.39192,-111.1762,-111.8779,57.40001,61.8,-213.2813,14.99277,17.78212,-380.6062,69.04044,46.3,61.3,946.2,233.5813,945.4032,224.519
02.10.2024_00.12.16,256,7901.723,27.6,-7.888451,33.54311,222.4031,105.1,104.9,87.48553,-107.9861,-115.1476,56.5,60.2,-212.7387,14.98264,17.72714,-380.787,70.80295,45.8,60.1,946.2,229.577,945.4032,221.709
02.10.2024_00.17.15,0,0,0,-6.098091,30.57364,182.1398,91.7,92.6,80.25536,-97.89499,-98.87152,55.4,58,-202.7778,14.86979,17.39149,-367.1875,79.24551,51.1,56.9,946.2,225.9942,945.4032,233.4408
02.10.2024_00.22.15,4,0,0,-5.942566,49.01982,148.8788,86.8,87.2,81.04384,-96.09375,-93.92361,56.9,57.9,-206.3802,13.15104,16.15162,-362.0153,74.33195,49.4,59.6,946.2,225.362,945.4032,216.7213
02.10.2024_00.27.16,4,0,0,-6.456161,60.03689,107.581,77.2,76.7,57.58464,-74.65277,-84.24481,58.1,58.2,-188.4114,15.20399,17.99045,-357.6027,79.05454,50.6,58.9,946.2,229.5067,945.4032,219.5313
02.10.2024_00.32.16,4,0,0,-6.405525,61.62471,87.21066,70.2,69.1,56.7202,-73.41583,-81.95892,57.2,57.40001,-187.0226,15.34577,18.01794,-357.3134,79.05454,48.4,57.6,946.2,229.9985,945.4032,228.1017
02.10.2024_00.37.16,8,0,0,-10.30816,81.45255,81.20298,66.1,65,68.28342,-82.03125,-90.46585,55.7,56,-196.7231,14.932,17.25116,-358.1814,75.22714,45.6,55.5,946.2,234.354,945.4032,222.3412
02.10.2024_00.42.15,128,0,0,-10.02242,49.78299,93.89468,69.9,67.9,91.74624,-108.8325,-116.2905,54.8,55.2,-217.513,14.46325,17.14699,-377.5318,64.85496,41.5,55.5,946.2,228.172,945.4032,221.428
