SampleTime,Process Mode,Oxygen Consumption -Top,Furnace Power,CombustionChamber Pressure,Suction Damper Position feedback,FDC inlet Temprature,FDC Outlet Temp,FDC Outlet Temp - Upperside,DP across FDC,FDC Outlet Pressure,Pressure at Gas Mixter inlet,Temp at BagHouse Inlet - UpperSide,Temp at BagHouse Inlet - LowerSide,Pressure at BagHouse Inlet,DP Across baghouse - UpperSide,DP Across baghouse - LowerSide,Pressure ID Fan Inlet,Canopy Damper Position,,,ID Fan1 Speed,ID Fan1 Current,ID Fan2 Speed,ID Fan2 Current
06.09.2024_06.30.12,128,1477.924,0,-9.993484,39.58334,274.3236,118.4,111,26.58782,-133.507,-144.4444,60.5,59.3,-235.4167,15.30237,18.5055,-409.7946,65.7581,41.7,62.2,946.2,233.7217,945.4032
06.09.2024_06.35.12,32,2473.089,0,-13.88889,57.32422,373.112,146,138,57.2555,-139.388,-147.9745,64.7,66.3,-237.717,15.93895,18.97135,-418.0049,61.29015,40.6,73.7,946.2,232.668,945.4032
06.09.2024_06.40.12,32,3474.165,0,-13.53805,59.03501,441.9416,169.2,162.5,62.63744,-136.0243,-141.5509,72.8,75.7,-233.5504,15.53241,18.87008,-411.1328,61.29015,40.8,81.3,946.2,223.3247,945.4032
06.09.2024_06.45.11,32,4475.149,0,-14.04442,62.48915,465.455,185.3,178.8,13.57784,-130.5773,-137.963,77.3,79.8,-226.3889,16.0272,19.27373,-409.4329,61.29015,40,83.6,946.2,224.9405,945.4032
06.09.2024_06.50.12,32,5475.131,0,-14.12761,64.30122,465.1765,179.2,174.2,41.30859,-130.8377,-134.6209,76.3,79.8,-225.5425,16.51476,19.58767,-411.2775,61.29412,40.3,82,946.2,223.114,945.4032
06.09.2024_06.55.11,64,6471.855,0,-9.953705,46.60012,452.9622,167.8,162.2,27.94054,-131.9227,-131.9155,71.2,77,-219.9436,15.65104,18.76736,-396.9546,64.53667,40.3,75.10001,946.2,221.3578,945.4032
06.09.2024_07.00.12,64,7471.869,0,-10.80006,43.56554,420.6561,150.8,144.7,67.70472,-154.6658,-136.6464,64.7,70.8,-224.9132,15.59028,18.73409,-400.8608,64.53269,38.7,69.3,946.2,225.0108,945.4032
06.09.2024_07.05.11,16,7591.736,0.4,-9.024162,43.33044,304.8394,124.7,121.1,24.46832,-148.7413,-145.6597,60.4,66.1,-234.809,15.07668,17.69386,-399.9927,61.54876,40.7,64.7,946.2,227.1885,945.4032
06.09.2024_07.10.11,16,7591.736,8.400001,-9.852432,40.4116,250.7704,111.7,108.1,20.20399,-122.3958,-123.2928,57.3,61.9,-217.5564,14.54282,17.64468,-384.6932,68.9927,41.6,60.7,946.2,228.1017,945.4032
06.09.2024_07.15.13,2048,7591.736,17.2,-9.82711,42.22367,224.5913,105.1,101.8,18.07726,-115.9071,-122.4826,56.3,60.2,-218.8802,14.89294,17.74161,-387.4421,68.9927,42.6,59.9,946.2,232.8788,945.4032
06.09.2024_07.20.14,2048,7591.736,25.6,-9.816261,41.67752,221.8063,102.9,99.4,28.07798,-117.9037,-123.206,56.7,60.8,-217.3611,14.85388,17.85156,-388.2017,68.9927,46.5,61.5,946.2,231.6845,945.4032
06.09.2024_07.25.11,2048,7591.736,34,-10.14902,41.67752,213.4512,99.5,96.2,21.50969,-116.0156,-124.3345,55.8,59.7,-219.9002,14.65567,17.57957,-387.6229,68.99667,45.5,60.2,946.2,230.7713,945.4032
06.09.2024_07.30.13,256,7591.736,36.4,-6.806999,30.48322,198.452,102.1,98.2,13.8491,-107.4436,-117.6215,56.4,59.4,-214.605,14.02054,16.80556,-377.2425,76.182,46.8,60.1,946.2,229.5067,945.4032
06.09.2024_07.35.12,0,0,0,-6.257233,30.4796,162.1275,96.7,92.7,12.46021,-96.67969,-104.8177,54.8,57.3,-202.7561,14.80903,17.5651,-369.647,79.26143,49.4,56.6,946.2,233.9325,945.4032
06.09.2024_07.40.11,2,0,0,-6.806999,37.81467,137.4602,90.60001,87.5,20.08825,-137.9557,-143.7645,54.3,56,-234.3533,15.6033,18.60677,-409.7584,59.93743,44.9,56.8,946.2,234.0028,945.4032
06.09.2024_07.45.11,128,0,0,-9.595634,45.03762,116.0554,83.2,81.5,22.32711,-113.8455,-119.9797,57.5,57.1,-215.8854,14.82639,17.36979,-380.6423,66.24747,43.4,57.9,946.2,230.9117,945.4032
06.09.2024_07.50.12,128,0,0,-10.04774,41.90176,161.4511,92.7,89.3,24.2079,-117.4262,-126.5914,59.6,57.8,-219.77,14.35185,17.15133,-383.8975,66.24349,41.9,59.3,946.2,229.9283,945.4032
06.09.2024_07.55.11,128,0,0,-10.12008,44.70486,143.627,92.3,89.6,24.65639,-113.151,-122.8299,59.9,58.7,-214.9523,14.52546,17.51591,-382.1976,66.24747,41.4,59.5,946.2,230.5605,945.4032
06.09.2024_08.00.11,128,774.0023,0,-9.425636,40.63223,226.4612,106.7,101.7,30.92086,-119.1623,-124.7975,62.4,60.4,-221.7665,15.01157,17.89497,-392.0356,66.24349,41.3,63.3,946.2,228.9447,945.4032
06.09.2024_08.05.12,128,1775.759,0,-9.762009,44.0285,320.714,134.1,126.5,43.66681,-115.4514,-122.2512,66.7,65.3,-217.3394,15.42824,18.32321,-392.325,66.25144,42.7,69.2,946.2,229.6472,945.4032
06.09.2024_08.10.12,32,2779.639,0,-13.45486,63.00275,375.3798,148.4,142.2,54.60069,-125.0217,-130.0926,75,72.7,-223.6328,15.68432,18.64294,-402.3076,59.51968,45.4,78.6,946.2,222.271,945.4032
06.09.2024_08.15.11,32,3782.26,0,-14.0625,64.59418,428.3746,167.2,160.9,71.99798,-128.5156,-135.8073,79.2,79.4,-227.9731,15.95486,18.93663,-407.7329,59.51172,42.5,85.1,946.2,225.643,945.4032
06.09.2024_08.20.11,32,4783.649,0,-13.94676,64.5978,458.6118,184.9,178.4,43.9634,-120.2474,-133.1453,80.5,85.3,-226.3238,15.70747,19.00174,-404.6948,59.51172,41.7,90.2,946.2,223.8165,945.4032
06.09.2024_08.25.12,32,5788.708,0,-13.80208,69.39742,470.9853,182.8,177.9,64.07335,-127.1484,-128.1539,81.1,84.5,-218.2292,15.8912,18.9294,-397.678,59.51172,42.1,86.2,946.2,217.775,945.4032
06.09.2024_08.30.12,64,6787.037,0,-10.27561,47.11733,466.2905,170.2,164.3,56.17405,-153.9713,-131.3079,74.1,78.6,-215.4514,16.41059,19.05093,-395.7249,64.46506,42.5,76.8,946.2,222.2008,945.4032
06.09.2024_08.35.12,64,7790.5,0,-9.581161,43.62703,449.0234,155.6,148.3,31.49595,-131.25,-135.3443,67.10001,73.3,-220.5078,15.48901,18.57494,-396.5206,64.46506,41.9,72.5,946.2,225.1512,945.4032
06.09.2024_08.40.12,0,8114.462,0,-9.700516,44.4987,366.1494,140.6,135.5,34.80541,-127.9731,-128.6314,66.1,71.5,-218.9019,15.21267,18.25231,-390.9505,64.46108,45.7,71.6,946.2,220.0932,945.4032
06.09.2024_08.45.12,16,8114.462,6.2,-9.964554,43.16045,289.6014,122.9,119.2,29.18837,-117.8169,-117.8675,62.1,67.9,-209.9175,15.23872,18.34201,-383.5359,68.78183,44.6,67.4,946.2,228.734,945.4032
06.09.2024_08.50.12,16,8114.462,14.2,-9.964554,43.15683,250.6908,113.2,110,16.63773,-112.5651,-122.8733,60,64.6,-212.9774,14.98119,17.87326,-382.4508,68.78183,42.7,63.9,946.2,226.0645,945.4032
06.09.2024_08.55.12,2048,8114.462,22.2,-10.06221,43.16406,236.3679,108.8,105.4,19.79528,-112.5434,-122.4103,60.4,64.2,-217.8603,14.66724,17.3452,-382.2338,68.77785,45.8,64.6,946.2,228.453,945.4032
06.09.2024_09.00.11,2048,8114.462,29.6,-10.59389,44.33232,222.602,104.8,101.7,31.06554,-113.0425,-120.6018,59.1,63,-212.2179,14.83362,17.71557,-383.2104,68.78183,44.8,63.5,946.2,234.7053,945.4032
06.09.2024_09.05.12,256,8114.462,30.4,-6.4851,29.08709,195.2293,97.1,94.7,15.71542,-96.65799,-104.5428,57.2,61.1,-200.2604,14.64699,17.40596,-369.7193,79.15401,46.3,59.9,946.2,225.1512,945.4032
06.09.2024_09.10.11,0,0,0,-5.870224,30.04919,164.5146,88.9,85.5,8.716724,-96.13718,-105.4688,56.1,58.4,-203.4071,14.54282,17.29601,-367.947,79.15401,50.5,57.6,946.2,231.0522,945.4032
06.09.2024_09.15.11,8,0,0,-8.59375,50.45211,141.9958,84.5,82.2,22.65263,-99.32724,-104.5428,56.3,57.6,-216.7534,13.09751,16.01997,-369.5023,72.27901,44.4,58.9,946.2,230.9117,945.4032
06.09.2024_09.20.11,128,0,0,-9.772858,40.02821,162.406,89.5,86.6,28.04905,-120.5512,-126.2876,60.8,59.6,-223.2639,14.63252,17.3886,-390.5165,65.27271,43,62.7,946.2,232.668,945.4032
06.09.2024_09.25.14,128,538.575,0,-9.519676,39.60503,219.0213,105.3,100.2,38.78762,-122.0486,-131.467,63.9,63.3,-224.1971,14.57899,17.52315,-390.0463,65.27271,45,66.8,946.2,228.172,945.4032
06.09.2024_09.30.12,128,1522.842,0,-9.396706,41.88368,264.5761,124.5,118,7.653357,-109.2231,-125.4485,66.9,66.8,-219.6398,15.72338,18.52286,-396.8823,65.26874,44.2,70.9,946.2,229.5067,945.4032
06.09.2024_09.35.11,32,2520.248,0,-13.98293,64.23611,322.5043,137.1,131,55.48322,-117.8819,-126.2297,72.8,72.1,-222.8082,15.21267,18.17564,-394.0249,60.94401,44.7,76.60001,946.2,228.453,945.4032
06.09.2024_09.40.11,32,3521.74,0,-13.64655,69.61444,391.3339,155.7,150.5,69.2853,-122.9601,-123.5098,78.6,79.3,-217.7734,15.49045,18.3724,-392.8313,60.95197,43.8,85.3,946.2,221.99,945.4032
06.09.2024_09.45.11,32,4520.958,0,-13.53805,76.57697,446.2384,178,172,83.14887,-117.7951,-121.6291,84.8,84.5,-213.151,15.85793,18.75145,-391.0952,60.94401,42.1,88.9,946.2,222.833,945.4032
06.09.2024_09.50.12,32,5524.377,0,-14.53993,72.34882,465.8926,187,182,82.87399,-127.2352,-132.8559,85.9,86.8,-224.8915,16.07639,18.9048,-402.9948,60.95197,41.7,89.2,946.2,217.1428,945.4032
