SampleTime,Process Mode,Oxygen Consumption -Top,Furnace Power,CombustionChamber Pressure,Suction Damper Position feedback,FDC inlet Temprature,FDC Outlet Temp,FDC Outlet Temp - Upperside,DP across FDC,FDC Outlet Pressure,Pressure at Gas Mixter inlet,Temp at BagHouse Inlet - UpperSide,Temp at BagHouse Inlet - LowerSide,Pressure at BagHouse Inlet,DP Across baghouse - UpperSide,DP Across baghouse - LowerSide,Pressure ID Fan Inlet,Canopy Damper Position,,,ID Fan1 Speed,ID Fan1 Current,ID Fan2 Speed,ID Fan2 Current
02.09.2024_14.25.09,16,7675.418,6.4,-12.51808,58.8614,288.6068,121,119.7,61.18344,-119.9002,-111.8345,62.9,67.3,-209.4618,14.81626,17.18316,-373.0469,69.34679,40.2,65.4,946.2,221.428,945.4032,223.395
02.09.2024_14.30.09,16,7675.418,11.4,-12.08044,56.90466,260.2394,116.5,114.8,56.02937,-121.8316,-114.2506,60.8,64.2,-211.7188,14.38223,16.97049,-373.1193,69.33884,40.6,63,946.2,225.643,945.4032,214.5435
02.09.2024_14.35.09,0,7675.418,16.4,-12.10214,56.90466,237.4421,112,110.3,42.66493,-108.2682,-115.191,59.2,61.8,-213.1293,14.46036,16.84606,-374.3851,69.33485,40.2,61,946.2,229.3663,945.4032,214.5435
02.09.2024_14.40.09,0,7675.418,16.4,-6.405525,30.30237,205.2951,101,99.2,19.15871,-98.61111,-102.9659,56.4,59.6,-204.2535,14.64265,17.19763,-369.9363,78.98293,48,58.3,946.2,230.982,945.4032,225.4323
02.09.2024_14.45.09,2,0,0,-8.68779,41.22902,171.0395,89.2,87.3,34.77286,-140.4948,-143.5619,52.8,55.2,-235.0477,16.16753,18.4158,-408.384,59.50376,44.3,54.2,946.2,230.2092,945.4032,231.8953
02.09.2024_14.50.09,128,0,0,-11.4077,59.94285,143.4281,84.1,83.3,46.86053,-115.191,-117.1152,53.9,54.7,-218.0772,13.49826,16.30932,-372.9022,66.11618,39.9,54.7,946.2,227.5397,945.4032,228.453
02.09.2024_14.55.09,128,0,0,-11.72237,48.57132,135.1924,83.6,83,46.57118,-125.5859,-121.6435,55.3,54.4,-226.7578,13.65162,16.26157,-380.4615,66.12413,39.7,55.4,946.2,230.4902,945.4032,225.081
02.09.2024_15.00.09,128,840.0859,0,-12.47468,53.80136,257.8125,120.5,115.5,64.46397,-116.4063,-126.7795,63.5,60.2,-221.3542,14.76273,17.4537,-390.3356,66.12811,41,65,946.2,225.7133,945.4032,218.2668
02.09.2024_15.05.09,128,1842.109,0,-12.14555,55.67491,311.046,139.9,134.5,62.31915,-125.7813,-130.5411,65.7,64,-227.6259,15.39497,17.9022,-399.812,66.12413,40.2,66.6,946.2,233.0895,945.4032,230.2795
02.09.2024_15.10.09,32,2840.01,0,-15.53819,81.11617,397.2222,163,158.4,103.389,-135.7639,-136.5162,73.4,70.8,-236.5451,15.73206,18.42448,-414.2795,60.67347,38.5,77.3,946.2,229.296,945.4032,230.2092
02.09.2024_15.15.09,32,3838.096,0,-15.20905,90.26692,450.4955,185,181,25.14829,-99.76129,-133.5793,79.7,78.2,-229.1884,15.8478,18.53877,-408.5286,60.67347,38.7,83.9,946.2,221.7793,945.4032,219.18
02.09.2024_15.20.09,32,4835.771,0,-14.98119,90.26692,482.2844,190.2,187.2,91.93793,-131.5972,-135.4745,80.4,81.4,-224.8264,16.13426,18.64149,-405.2372,60.67745,39.2,84.7,946.2,218.1965,945.4032,226.0645
02.09.2024_15.25.09,32,5839.048,0,-14.68822,90.26692,494.3793,187,183.8,103.3818,-130.4254,-129.7743,79.7,82.10001,-223.2205,16.00984,18.5923,-401.1863,60.67347,39,84.5,946.2,222.6925,945.4032,206.8862
02.09.2024_15.30.09,64,6844.523,0,-12.20703,67.15856,490.8384,182.5,178,58.94097,-123.7847,-123.1771,75.4,80.3,-216.5799,16.05469,18.46354,-393.8441,64.13882,40.2,81.1,946.2,218.5478,945.4032,215.1055
02.09.2024_15.35.10,64,7846.725,0,-12.48915,60.80729,474.6455,175.2,170.3,35.6156,-106.0547,-125.9114,73.1,77.2,-218.6198,15.35301,18.04253,-389.6484,64.13882,39.8,77,946.2,222.3412,945.4032,217.5642
02.09.2024_15.40.09,2,8125.164,0,-11.36067,61.4945,363.2849,137.9,135.3,103.3818,-144.7049,-121.6146,65,70,-215.6901,15.01157,17.60561,-384.3316,64.13484,40.5,66.1,946.2,220.7957,945.4032,227.61
02.09.2024_15.45.10,16,8125.164,2.6,-11.57046,50.84636,276.1538,109.5,107.5,53.61328,-122.1354,-120.544,59.2,64,-215.1259,13.37095,16.41348,-374.2766,68.78979,43.4,62.9,946.2,231.263,945.4032,229.9985
02.09.2024_15.50.09,16,8125.164,10.6,-12.29022,53.4686,274.0054,114.7,112,54.93707,-115.2561,-118.0121,59.6,62.5,-214.4097,14.4184,17.22367,-379.3403,68.79376,42.2,62.4,946.2,225.081,945.4032,215.808
02.09.2024_15.55.09,2048,8125.164,17.4,-12.0732,53.47222,260.2792,114.7,111.8,52.26056,-112.2613,-115.8854,57.8,62.2,-214.9956,14.27951,17.00665,-378.2552,68.78979,42.2,63,946.2,228.9447,945.4032,217.0725
02.09.2024_16.00.09,2048,8125.164,23.8,-11.12196,46.97266,248.1048,111.4,108.4,56.6153,-122.2656,-121.8316,58,62.1,-219.4879,14.46759,17.11227,-383.2465,68.79376,44.9,63.4,946.2,230.8415,945.4032,215.1055
02.09.2024_16.05.09,256,8125.164,28.4,-8.821609,40.28139,232.7076,107.2,104.7,57.80526,-114.0191,-121.1371,56.2,61.4,-217.2309,14.43287,17.09346,-381.7997,70.58413,44.7,61.6,946.2,233.792,945.4032,227.1183
02.09.2024_16.10.09,0,0,0,-6.362122,29.97685,187.7496,90.7,88.60001,24.55874,-95.83331,-104.7598,52.5,55.8,-204.4922,14.0842,16.66522,-364.1494,79.71896,48.4,53.5,946.2,234.2838,945.4032,234.916
02.09.2024_16.15.09,128,0,0,-12.17086,54.95153,157.0747,83.5,81.8,48.57494,-116.0156,-121.9329,51.1,53.5,-223.5243,13.38108,16.1169,-378.0743,64.19849,42,53.7,946.2,227.891,945.4032,226.5562
02.09.2024_16.20.09,128,0,0,-12.16363,51.9278,135.3516,80.5,79.5,52.39077,-121.4844,-129.7888,51.7,52.9,-224.2621,14.02923,16.53646,-383.6806,64.19849,39,53,946.2,233.4408,945.4032,225.7133
02.09.2024_16.25.09,128,10.82737,0,-12.60127,49.09939,141.1205,85.1,83.8,46.20226,-119.8351,-126.6059,54.1,54,-227.2135,13.46499,16.12269,-382.053,64.19849,41.2,55.6,946.2,225.4323,945.4032,220.9362
02.09.2024_16.30.09,128,1016.95,0,-11.62109,51.98206,246.4337,119.6,114.3,63.5923,-117.0139,-129.1522,61.6,59.6,-225.8681,14.73814,17.34809,-394.5313,64.19849,41,64.8,946.2,227.9612,945.4032,224.7297
02.09.2024_16.35.10,32,2024.157,0,-11.67896,66.79326,331.1378,146.7,140.5,72.23308,-114.605,-122.3235,68.8,66.3,-218.1858,15.71325,18.3912,-395.0738,63.85634,40.4,70.8,946.2,225.924,945.4032,228.0315
02.09.2024_16.40.09,32,3016.682,0,-14.69184,91.3954,388.2704,162.7,158.3,103.3818,-127.4089,-127.1267,77.5,74.3,-223.3073,15.87963,18.49392,-401.6927,60.06076,40.6,80.5,946.2,221.5685,945.4032,213.6302
02.09.2024_16.45.09,32,4016.338,0,-14.09144,91.3954,448.1084,185.2,180.8,34.32798,-101.3021,-125.7523,83.8,80.9,-220.4427,16.32523,19.02633,-402.2714,59.14967,39.9,86.8,946.2,222.833,945.4032,222.4115
02.09.2024_16.50.09,32,5021.18,0,-14.98119,90.59606,477.0327,188.4,184.1,82.62442,-135.1779,-136.6609,83.10001,83.6,-231.25,16.27025,18.66175,-408.9626,60.06076,40.2,87,946.2,224.0272,945.4032,220.1635
02.09.2024_16.55.09,64,6024.59,0,-15.40798,86.18707,479.9769,183.7,180.5,74.58044,-121.8316,-135.4745,81.6,83.6,-224.1536,16.1386,18.7934,-404.5862,60.06474,40.4,86,946.2,216.1592,945.4032,212.9277
02.09.2024_17.00.09,64,7020.013,0,-11.44386,53.07437,426.067,164.4,160.3,50.89337,-126.2153,-124.5081,71.6,77.2,-211.6102,15.46586,18.00926,-384.2954,64.8112,41,73,946.2,227.329,945.4032,212.2253
02.09.2024_17.05.09,64,8019.478,0,-12.34809,57.35677,385.7241,145.3,140.6,74.77937,-135.0694,-125.1591,68.7,71.6,-219.9653,15.48466,18.13513,-393.3376,64.80325,44.5,72.1,946.2,224.1678,945.4032,216.2295
02.09.2024_17.10.10,0,8390.804,0,-12.14916,61.31728,313.7117,131.8,128.6,52.65842,-117.3611,-122.9022,65.5,69.5,-216.9922,14.82349,17.34664,-383.2827,64.81518,45,68.6,946.2,225.643,945.4032,222.3412
02.09.2024_17.15.09,16,8390.804,5.2,-11.76577,56.23553,258.8469,116.5,114.3,34.20501,-107.4002,-117.0139,62.2,65.5,-209.8958,14.79601,17.3669,-375.6872,68.63462,43.9,64.2,946.2,228.2422,945.4032,229.7175
02.09.2024_17.20.09,16,8390.804,13.6,-12.1998,57.83059,236.1292,111.4,109.6,51.79036,-112.3915,-115.6973,59.1,62.9,-214.9088,14.45891,17.11372,-375.5425,68.6386,41.2,62.4,946.2,227.61,945.4032,216.7213
02.09.2024_17.25.09,0,8390.804,19.8,-11.76939,55.83767,224.1537,108.8,106.9,51.68909,-109.7873,-116.522,57.5,61.6,-215.0391,14.4184,16.9401,-377.4595,68.6386,40.5,61.3,946.2,225.4323,945.4032,215.8783
02.09.2024_17.30.09,0,8390.804,19.8,-6.260849,31.4634,187.3119,96.3,94.7,37.88701,-102.6259,-106.3947,55.3,59.1,-204.796,14.12616,16.78675,-365.7046,79.14605,47.2,58.1,946.2,232.8085,945.4032,227.9612
02.09.2024_17.35.09,2,0,0,-7.609955,40.6901,155.0854,86.10001,84.1,38.70443,-136.046,-141.1169,52.4,55.3,-234.1797,15.73351,18.47946,-409.4691,60.86444,43.7,54.5,946.2,230.139,945.4032,225.5728
02.09.2024_17.40.09,4,0,0,-6.311485,67.59621,120.1136,77.4,76.7,36.26302,-80.79431,-89.22165,54.7,55.3,-195.5729,13.47801,16.43085,-354.456,79.18185,46.3,55.8,946.2,211.593,945.4032,223.4653
02.09.2024_17.45.09,4,0,0,-6.933594,75.33276,92.62153,68.5,68,37.22512,-79.18835,-92.65045,54.5,54.7,-192.8819,14.51099,17.0544,-356.6262,79.18185,46.6,54.5,946.2,232.8085,945.4032,232.2465
02.09.2024_17.50.10,4,0,0,-6.976997,76.88802,77.62225,62.7,62.2,46.0829,-81.35852,-91.44965,52.8,53,-194.2708,14.59491,16.93432,-356.1198,79.18185,44.9,52.7,946.2,235.1267,945.4032,227.1885
02.09.2024_17.55.09,4,0,0,-6.51403,74.75767,69.70486,58.3,57.7,42.60706,-79.21008,-90.19098,51.8,51.6,-195.0955,14.2419,16.59722,-355.2517,79.18185,44.2,51.3,946.2,230.2795,945.4032,221.8495
02.09.2024_18.00.09,4,0,0,-7.092735,74.75767,65.28863,54.8,54.2,44.10807,-81.11981,-91.55093,49.7,49.9,-197.1788,13.82668,16.28038,-352.8646,79.18185,42.8,49.3,946.2,232.668,945.4032,231.263
02.09.2024_18.05.09,2,0,0,-8.644386,62.05874,69.74464,54.3,53.7,43.9417,-95.39932,-106.5828,48.3,48.7,-200.9983,16.81858,19.38368,-387.189,68.25268,41.4,47.8,946.2,233.0192,945.4032,230.139
02.09.2024_18.10.09,128,0,0,-11.12558,48.23857,88.96122,59.6,58.8,43.38108,-119.8134,-131.3079,49.5,48.3,-229.5139,13.67911,16.19068,-386.0677,64.53269,39.9,49.7,946.2,234.635,945.4032,229.9985
02.09.2024_18.15.10,128,0,0,-12.12384,52.80309,102.4884,65.60001,64.8,47.99262,-112.4349,-124.103,52.3,50.4,-226.5408,14.18548,16.6522,-387.3698,64.53269,41.1,52.6,946.2,235.759,945.4032,223.2545
02.09.2024_18.20.09,128,884.754,0,-11.84173,54.05093,280.5302,112.4,107.5,79.36198,-114.2144,-130.1939,63.4,58.7,-227.4522,14.93779,17.7011,-397.2801,64.53269,41.9,64.4,946.2,229.9283,945.4032,224.1678
02.09.2024_18.25.09,128,1886.778,0,-11.94661,62.63744,366.7462,150.2,143.1,63.74783,-106.8359,-119.6614,69.9,66.4,-215.6901,15.90423,18.51707,-395.0738,64.53269,40.6,70.9,946.2,220.304,945.4032,226.3455
02.09.2024_18.30.09,32,2889.117,0,-14.81481,93.13152,394.8351,162.1,157.1,85.659,-125.1085,-132.4797,75.7,73.60001,-224.1103,16.58565,19.11603,-407.2266,61.37767,41.9,79.4,946.2,222.1305,945.4032,215.9485
02.09.2024_18.35.10,32,3895.446,0,-14.30845,93.14236,439.435,181.2,176.7,103.389,-131.7708,-130.9462,81.2,78.6,-225.5425,16.10677,18.68056,-406.5032,61.38166,41.4,83.6,946.2,219.5313,945.4032,222.7628
